exercise_id,name,category,movement_pattern,equipment,primary_muscles,secondary_muscles,difficulty,role,is_unilateral,is_compound,tracking_mode,default_rep_range,default_rest_seconds,coaching_cues,aliases,search_terms,source_aliases,source_occurrences,built_in
core-arnold-press,Arnold Press,Strength — Vertical Push,vertical_push,bodyweight; external load optional,deltoids,triceps; upper chest,intermediate,strength,False,True,reps_load,3–8 reps,150,Stack the ribs over the pelvis before pressing.; Keep the forearms under the load.; Finish with control; do not chase range by arching.,,Arnold Press; Strength — Vertical Push; bodyweight; deltoids; external load optional; triceps; upper chest; vertical push,,0,True
core-landmine-press,Landmine Press,Strength — Vertical Push,vertical_push,landmine,deltoids,triceps; upper chest,intermediate,strength,False,True,reps_load,3–8 reps,150,Stack the ribs over the pelvis before pressing.; Keep the forearms under the load.; Finish with control; do not chase range by arching.,,Landmine Press; Strength — Vertical Push; deltoids; landmine; triceps; upper chest; vertical push,,1,True
core-overhead-press,Overhead Press,Strength — Vertical Push,vertical_push,barbell; rack or bench,deltoids,triceps; upper chest,intermediate,strength,False,True,reps_load,3–8 reps,150,Stack the ribs over the pelvis before pressing.; Keep the forearms under the load.; Finish with control; do not chase range by arching.,,Overhead Press; Strength — Vertical Push; barbell; deltoids; rack or bench; triceps; upper chest; vertical push,,0,True
core-push-press,Push Press,Strength — Vertical Push,vertical_push,barbell; rack or bench,deltoids,triceps; upper chest,intermediate,strength,False,True,reps_load,3–8 reps,150,Stack the ribs over the pelvis before pressing.; Keep the forearms under the load.; Finish with control; do not chase range by arching.,,Push Press; Strength — Vertical Push; barbell; deltoids; rack or bench; triceps; upper chest; vertical push,,64,True
core-seated-db-overhead-press,Seated DB Overhead Press,Strength — Vertical Push,vertical_push,dumbbells; bench optional,deltoids,triceps; upper chest,intermediate,strength,False,True,reps_load,3–8 reps,150,Stack the ribs over the pelvis before pressing.; Keep the forearms under the load.; Finish with control; do not chase range by arching.,Seated Dumbbell Shoulder Press; Seated DB Press,Seated DB Overhead Press; Seated DB Press; Seated Dumbbell Shoulder Press; Strength — Vertical Push; bench optional; deltoids; dumbbells; triceps; upper chest; vertical push,Seated Dumbbell Shoulder Press; Seated DB Press,76,True
rebuilt-incline-db-press,Incline DB Press,Strength — Horizontal Push,horizontal_push,dumbbells; bench optional,chest,triceps; anterior deltoids,intermediate,strength,False,True,reps_load,6–12 reps,120,Set the shoulder blades and keep the ribcage controlled.; Lower with control and keep the wrists stacked.; Press smoothly without bouncing or grinding.,Incline Dumbbell Bench Press; DB Incline Bench,DB Incline Bench; Incline DB Press; Incline Dumbbell Bench Press; Strength — Horizontal Push; anterior deltoids; bench optional; chest; dumbbells; horizontal push; triceps,,0,True
rebuilt-dumbbell-press,Dumbbell Press,Strength — Horizontal Push,horizontal_push,dumbbells; bench optional,chest,triceps; anterior deltoids,intermediate,strength,False,True,reps_load,6–12 reps,120,Set the shoulder blades and keep the ribcage controlled.; Lower with control and keep the wrists stacked.; Press smoothly without bouncing or grinding.,,Dumbbell Press; Strength — Horizontal Push; anterior deltoids; bench optional; chest; dumbbells; horizontal push; triceps,,0,True
rebuilt-machine-press,Machine Press,Strength — Horizontal Push,horizontal_push,machine,chest,triceps; anterior deltoids,beginner,strength,False,True,reps_load,6–12 reps,120,Set the shoulder blades and keep the ribcage controlled.; Lower with control and keep the wrists stacked.; Press smoothly without bouncing or grinding.,,Machine Press; Strength — Horizontal Push; anterior deltoids; chest; horizontal push; machine; triceps,,0,True
rebuilt-lateral-lunge,Lateral Lunge,Strength — Unilateral,unilateral,bodyweight; external load optional,quadriceps; glutes,hamstrings; trunk,intermediate,strength,True,True,reps_load,6–12 reps / side,90,Own the stance before adding load.; Keep the pelvis level and the working foot stable.; Use a controlled tempo on the way down.,,Lateral Lunge; Strength — Unilateral; bodyweight; external load optional; glutes; hamstrings; quadriceps; trunk; unilateral,,12,True
rebuilt-tempo-bodyweight-squat,Tempo Bodyweight Squat,Strength — Squat,squat,free weights or bodyweight,quadriceps; glutes,adductors; trunk,beginner,strength,False,True,reps_load,3–8 reps,150,Brace before each rep and keep the full foot grounded.; Control the descent without losing knee and foot position.; Stand by driving through the floor.,,Strength — Squat; Tempo Bodyweight Squat; adductors; free weights or bodyweight; glutes; quadriceps; squat; trunk,,0,True
rebuilt-block-pull,Block Pull,Strength — Hinge,hinge,barbell; rack or bench,glutes; hamstrings,spinal erectors; upper back,intermediate,strength,False,True,reps_load,3–8 reps,150,Set the trunk and keep the load close.; Push the hips back while keeping the spine controlled.; Finish tall without leaning back.,,Block Pull; Strength — Hinge; barbell; glutes; hamstrings; hinge; rack or bench; spinal erectors; upper back,,0,True
rebuilt-band-good-morning,Band Good Morning,Strength — Hinge,hinge,resistance band,glutes; hamstrings,spinal erectors; upper back,intermediate,strength,False,True,reps_load,3–8 reps,150,Set the trunk and keep the load close.; Push the hips back while keeping the spine controlled.; Finish tall without leaning back.,,Band Good Morning; Strength — Hinge; glutes; hamstrings; hinge; resistance band; spinal erectors; upper back,,0,True
rebuilt-db-rdl,DB RDL,Strength — Hinge,hinge,dumbbells; bench optional,glutes; hamstrings,spinal erectors; upper back,intermediate,strength,False,True,reps_load,3–8 reps,150,Set the trunk and keep the load close.; Push the hips back while keeping the spine controlled.; Finish tall without leaning back.,Dumbbell Romanian Deadlift; Dumbbell RDL; DB RDLs,DB RDL; DB RDLs; Dumbbell RDL; Dumbbell Romanian Deadlift; Strength — Hinge; bench optional; dumbbells; glutes; hamstrings; hinge; spinal erectors; upper back,DB RDLs,116,True
rebuilt-suitcase-carry,Suitcase Carry,Loaded Carry / Conditioning,carry,dumbbells or kettlebells,grip; trunk,trapezius; legs,intermediate,carry,False,True,distance_time_load,20–40 m or 20–60 sec,60,"Stand tall and keep the load close when appropriate.; Use short, quiet steps.; Finish the distance without leaning or rushing.",,Loaded Carry / Conditioning; Suitcase Carry; carry; dumbbells or kettlebells; grip; legs; trapezius; trunk,,11,True
rebuilt-sandbag-carry,Sandbag Carry,Loaded Carry / Conditioning,carry,sandbag,grip; trunk,trapezius; legs,intermediate,carry,False,True,distance_time_load,20–40 m or 20–60 sec,60,"Stand tall and keep the load close when appropriate.; Use short, quiet steps.; Finish the distance without leaning or rushing.",,Loaded Carry / Conditioning; Sandbag Carry; carry; grip; legs; sandbag; trapezius; trunk,,1,True
rebuilt-bear-crawl,Bear Crawl,Loaded Carry / Conditioning,carry,dumbbells or kettlebells,grip; trunk,trapezius; legs,intermediate,carry,False,True,distance_time_load,20–40 m or 20–60 sec,60,"Stand tall and keep the load close when appropriate.; Use short, quiet steps.; Finish the distance without leaning or rushing.",,Bear Crawl; Loaded Carry / Conditioning; carry; dumbbells or kettlebells; grip; legs; trapezius; trunk,,0,True
rebuilt-backpack-carry,Backpack Carry,Loaded Carry / Conditioning,carry,loaded backpack,grip; trunk,trapezius; legs,intermediate,carry,False,True,distance_time_load,20–40 m or 20–60 sec,60,"Stand tall and keep the load close when appropriate.; Use short, quiet steps.; Finish the distance without leaning or rushing.",,Backpack Carry; Loaded Carry / Conditioning; carry; grip; legs; loaded backpack; trapezius; trunk,,0,True
rebuilt-med-ball-throw,Med-Ball Throw,Power & Athletic,power,medicine ball,trunk; shoulders,hips; arms,intermediate,power,False,True,reps_load,2–5 reps,60,Use a light enough load to stay fast.; Reset between reps when technique changes.; Stop the set when speed or landing quality drops.,,Med-Ball Throw; Power & Athletic; arms; hips; medicine ball; power; shoulders; trunk,,0,True
rebuilt-kettlebell-swing,Kettlebell Swing,Power & Athletic,power,kettlebell,hips; hamstrings,trunk; shoulders,intermediate,power,False,True,reps_load,2–5 reps,60,Use a light enough load to stay fast.; Reset between reps when technique changes.; Stop the set when speed or landing quality drops.,,Kettlebell Swing; Power & Athletic; hamstrings; hips; kettlebell; power; shoulders; trunk,,1,True
rebuilt-fast-sit-to-stand,Fast Sit-to-Stand,Power & Athletic,power,free weights or bodyweight,hips; hamstrings,trunk; shoulders,intermediate,power,False,True,reps_load,2–5 reps,60,Use a light enough load to stay fast.; Reset between reps when technique changes.; Stop the set when speed or landing quality drops.,,Fast Sit-to-Stand; Power & Athletic; free weights or bodyweight; hamstrings; hips; power; shoulders; trunk,,0,True
rebuilt-jump-squat,Jump Squat,Power & Athletic,power,free weights or bodyweight,quadriceps; glutes,calves; hamstrings,intermediate,power,False,True,reps_load,2–5 reps,60,Use a light enough load to stay fast.; Reset between reps when technique changes.; Stop the set when speed or landing quality drops.,,Jump Squat; Power & Athletic; calves; free weights or bodyweight; glutes; hamstrings; power; quadriceps,,1,True
rebuilt-scap-push-up,Scap Push-Up,Prep / Mobility,prep,bodyweight; external load optional,movement preparation,hips; shoulders,beginner,prep,False,False,reps_or_time,5–10 reps or 20–40 sec,30,Move smoothly and stay below fatigue.; Use only the range you can control.; Treat discomfort as a signal to reduce range or stop.,,Prep / Mobility; Scap Push-Up; bodyweight; external load optional; hips; movement preparation; prep; shoulders,,206,True
rebuilt-hip-hinge-drill,Hip Hinge Drill,Prep / Mobility,prep,bodyweight; external load optional,movement preparation,hips; shoulders,beginner,prep,False,False,reps_or_time,5–10 reps or 20–40 sec,30,Move smoothly and stay below fatigue.; Use only the range you can control.; Treat discomfort as a signal to reduce range or stop.,,Hip Hinge Drill; Prep / Mobility; bodyweight; external load optional; hips; movement preparation; prep; shoulders,,0,True
library-assisted-pull-up,Assisted Pull-Up,Strength — Vertical Pull,vertical_pull,bodyweight; external load optional,lats,biceps; upper back,intermediate,strength,False,True,reps_load,3–8 reps,150,Start from a stable shoulder position.; Drive the elbows down rather than yanking with the hands.; Control the return to the start.,Assisted Ring Pull Ups - SP; Band Assisted Pull Up; assisted pull up,Assisted Pull-Up; Assisted Ring Pull Ups - SP; Band Assisted Pull Up; Strength — Vertical Pull; assisted pull up; biceps; bodyweight; external load optional; lats; upper back; vertical pull,Assisted Ring Pull Ups - SP; Band Assisted Pull Up,1,True
library-inverted-row,Inverted Row,Strength — Horizontal Pull,horizontal_pull,free weights or bodyweight,upper back; lats,biceps; rear deltoids,intermediate,strength,False,True,reps_load,6–12 reps,120,Keep the trunk stable and avoid using momentum.; Pull the elbows toward the body.; Pause briefly in the contracted position.,,Feet Elevated Inverted Row; Inverted Row; Strength — Horizontal Pull; biceps; free weights or bodyweight; horizontal pull; lats; rear deltoids; upper back,Feet Elevated Inverted Row,14,True
library-seal-row,Seal Row,Strength — Horizontal Pull,horizontal_pull,free weights or bodyweight,upper back; lats,biceps; rear deltoids,intermediate,strength,False,True,reps_load,6–12 reps,120,Keep the trunk stable and avoid using momentum.; Pull the elbows toward the body.; Pause briefly in the contracted position.,,DB Seal Rows; Seal Row; Seal Rows; Strength — Horizontal Pull; biceps; free weights or bodyweight; horizontal pull; lats; rear deltoids; upper back,Seal Rows; DB Seal Rows,3,True
library-low-cable-row,Low Cable Row,Strength — Horizontal Pull,horizontal_pull,cable station,upper back; lats,biceps; rear deltoids,intermediate,strength,False,True,reps_load,6–12 reps,120,Keep the trunk stable and avoid using momentum.; Pull the elbows toward the body.; Pause briefly in the contracted position.,,Low Cable Row; Seated Cable Row; Strength — Horizontal Pull; biceps; cable station; horizontal pull; lats; rear deltoids; upper back,Seated Cable Row,27,True
library-dumbbell-floor-press,Dumbbell Floor Press,Strength — Horizontal Push,horizontal_push,dumbbells; bench optional,chest,triceps; anterior deltoids,intermediate,strength,False,True,reps_load,6–12 reps,120,Set the shoulder blades and keep the ribcage controlled.; Lower with control and keep the wrists stacked.; Press smoothly without bouncing or grinding.,,DB Floor Press; DB Floor Press - neutral grip; Dumbbell Floor Press; Strength — Horizontal Push; anterior deltoids; bench optional; chest; dumbbells; horizontal push; triceps,DB Floor Press; DB Floor Press - neutral grip,18,True
library-deficit-push-up,Deficit Push-Up,Strength — Horizontal Push,horizontal_push,bodyweight; external load optional,chest,triceps; anterior deltoids,intermediate,strength,False,True,reps_load,6–12 reps,120,Set the shoulder blades and keep the ribcage controlled.; Lower with control and keep the wrists stacked.; Press smoothly without bouncing or grinding.,,Deficit Push Up; Deficit Push-Up; Deficit Push-Ups; Strength — Horizontal Push; anterior deltoids; bodyweight; chest; external load optional; horizontal push; triceps,Deficit Push Up; Deficit Push-Ups,8,True
library-z-press,Z-Press,Strength — Vertical Push,vertical_push,bodyweight; external load optional,deltoids,triceps; upper chest,intermediate,strength,False,True,reps_load,3–8 reps,150,Stack the ribs over the pelvis before pressing.; Keep the forearms under the load.; Finish with control; do not chase range by arching.,Barbell Z Press; DB Z Press; Kettlebell Z Press,Barbell Z Press; DB Z Press; Kettlebell Z Press; Strength — Vertical Push; Z-Press; Z-press; bodyweight; deltoids; external load optional; triceps; upper chest; vertical push,Z-press; Barbell Z Press; DB Z Press; Kettlebell Z Press,112,True
library-landmine-squat,Landmine Squat,Strength — Squat,squat,landmine,quadriceps; glutes,adductors; trunk,intermediate,strength,False,True,reps_load,3–8 reps,150,Brace before each rep and keep the full foot grounded.; Control the descent without losing knee and foot position.; Stand by driving through the floor.,Landmine Squat; 1 1/4 Landmine Squat,1 1/4 Landmine Squat; Landmine Squat; Strength — Squat; adductors; glutes; landmine; quadriceps; squat; trunk,1 1/4 Landmine Squat,19,True
library-cyclist-squat,Cyclist Squat,Strength — Squat,squat,free weights or bodyweight,quadriceps; glutes,adductors; trunk,intermediate,strength,False,True,reps_load,3–8 reps,150,Brace before each rep and keep the full foot grounded.; Control the descent without losing knee and foot position.; Stand by driving through the floor.,,Cyclist Squat; Strength — Squat; adductors; cyclist squat - back rack; free weights or bodyweight; glutes; quadriceps; squat; trunk,cyclist squat - back rack,17,True
library-cossack-squat,Cossack Squat,Strength — Unilateral,unilateral,bodyweight; external load optional,quadriceps; glutes,hamstrings; trunk,intermediate,strength,True,True,reps_load,6–12 reps / side,90,Own the stance before adding load.; Keep the pelvis level and the working foot stable.; Use a controlled tempo on the way down.,,Cossack Squat; Goblet Cossack Squat; Strength — Unilateral; bodyweight; external load optional; glutes; hamstrings; quadriceps; trunk; unilateral,Goblet Cossack Squat,37,True
library-front-foot-elevated-reverse-lunge,Front-Foot Elevated Reverse Lunge,Strength — Unilateral,unilateral,bodyweight; external load optional,quadriceps; glutes,hamstrings; trunk,intermediate,strength,True,True,reps_load,6–12 reps / side,90,Own the stance before adding load.; Keep the pelvis level and the working foot stable.; Use a controlled tempo on the way down.,DB Reverse Lunge (Front Foot Elevated); Front Foot Elevated KB Reverse Lunges,DB Reverse Lunge (Front Foot Elevated); Front Foot Elevated KB Reverse Lunges; Front-Foot Elevated Reverse Lunge; Strength — Unilateral; bodyweight; external load optional; glutes; hamstrings; quadriceps; trunk; unilateral,DB Reverse Lunge (Front Foot Elevated); Front Foot Elevated KB Reverse Lunges,22,True
library-b-stance-romanian-deadlift,B-Stance Romanian Deadlift,Strength — Hinge,hinge,free weights or bodyweight,glutes; hamstrings,spinal erectors; upper back,intermediate,strength,True,True,reps_load,3–8 reps,150,Set the trunk and keep the load close.; Push the hips back while keeping the spine controlled.; Finish tall without leaning back.,,B Stance Rdl; B-STANCE RDL - DB; B-Stance Romanian Deadlift; Strength — Hinge; free weights or bodyweight; glutes; hamstrings; hinge; spinal erectors; upper back,B Stance Rdl; B-STANCE RDL - DB,17,True
library-cable-pull-through,Cable Pull-Through,Strength — Hinge,hinge,cable station,glutes; hamstrings,spinal erectors; upper back,intermediate,strength,False,True,reps_load,3–8 reps,150,Set the trunk and keep the load close.; Push the hips back while keeping the spine controlled.; Finish tall without leaning back.,,Cable Pull Thru; Cable Pull-Through; Strength — Hinge; cable station; glutes; hamstrings; hinge; spinal erectors; upper back,Cable Pull Thru,20,True
library-cable-crunch,Cable Crunch,Core,core,cable station,abdominals,hip flexors; obliques,intermediate,accessory,False,False,reps_load,8–15 reps,60,Keep the ribs and pelvis connected.; Breathe behind the brace.; Stop before the trunk position changes.,"Rope (cable attachment) or Kneeling Heavy Band Crunches; Standing, Heavy Band Crunches","Cable Crunch; Core; Rope (cable attachment) or Kneeling Heavy Band Crunches; Standing, Heavy Band Crunches; abdominals; cable station; core; hip flexors; obliques","Rope (cable attachment) or Kneeling Heavy Band Crunches; Standing, Heavy Band Crunches",2,True
library-dead-bug,Dead Bug,Core,core,bodyweight; external load optional,abdominals,hip flexors; obliques,beginner,accessory,False,False,time_or_reps,8–15 reps,60,Keep the ribs and pelvis connected.; Breathe behind the brace.; Stop before the trunk position changes.,,Core; Dead Bug; Dead Bug with Mini Bands; Deadbug; abdominals; bodyweight; core; external load optional; hip flexors; obliques,Deadbug; Dead Bug with Mini Bands,6,True
library-side-plank,Side Plank,Core,core,bodyweight; external load optional,obliques; deep trunk stabilisers,glute medius,beginner,accessory,False,False,time_or_reps,20–60 sec,60,Keep the ribs and pelvis connected.; Breathe behind the brace.; Stop before the trunk position changes.,,Core; Side Plank; Side Plank - Straight Arm; bodyweight; core; deep trunk stabilisers; external load optional; glute medius; obliques,Side Plank - Straight Arm,29,True
library-copenhagen-plank,Copenhagen Plank,Core,core,bodyweight; external load optional,obliques; deep trunk stabilisers,glute medius,advanced,accessory,False,False,time_or_reps,20–60 sec,60,Keep the ribs and pelvis connected.; Breathe behind the brace.; Stop before the trunk position changes.,,Bent-Knee Copenhagen ISO-Hold; Copenhagen Plank; Core; bodyweight; core; deep trunk stabilisers; external load optional; glute medius; obliques,Bent-Knee Copenhagen ISO-Hold,14,True
library-adductor-machine,Adductor Machine,Machine / Isolation,isolation,machine,adductors,glutes,beginner,accessory,False,False,reps_load,8–15 reps,60,Use a stable position and a manageable load.; Move through the target joint without momentum.; Stop the set when the target muscle loses control.,,Adductor Machine; Machine / Isolation; adductors; glutes; isolation; machine,,1,True
library-seated-leg-curl,Seated Leg Curl,Machine / Isolation,isolation,machine,hamstrings,calves,intermediate,accessory,False,False,reps_load,8–15 reps,60,Use a stable position and a manageable load.; Move through the target joint without momentum.; Stop the set when the target muscle loses control.,,Machine / Isolation; Seated Leg Curl; Seated Leg Curls; calves; hamstrings; isolation; machine; seated leg curl,seated leg curl; Seated Leg Curls,15,True
library-hip-abduction-machine,Hip Abduction Machine,Machine / Isolation,isolation,machine,glute medius,glute minimus,beginner,accessory,False,False,reps_load,8–15 reps,60,Use a stable position and a manageable load.; Move through the target joint without momentum.; Stop the set when the target muscle loses control.,Hip Abduction Machine (Extra Range); weight plate hip abduction,Hip Abduction Machine; Hip Abduction Machine (Extra Range); Machine / Isolation; glute medius; glute minimus; isolation; machine; weight plate hip abduction,Hip Abduction Machine (Extra Range); weight plate hip abduction,7,True
library-hang-power-clean,Hang Power Clean,Power & Athletic,power,free weights or bodyweight,hips; hamstrings,trunk; shoulders,advanced,power,False,True,reps_load,2–5 reps,60,Use a light enough load to stay fast.; Reset between reps when technique changes.; Stop the set when speed or landing quality drops.,,Hang Power Clean; Hang Power Clean From Mid Thigh; Power & Athletic; free weights or bodyweight; hamstrings; hips; power; shoulders; trunk,Hang Power Clean From Mid Thigh,123,True
library-dumbbell-snatch,Dumbbell Snatch,Power & Athletic,power,dumbbells; bench optional,hips; hamstrings,trunk; shoulders,advanced,power,False,True,reps_load,2–5 reps,60,Use a light enough load to stay fast.; Reset between reps when technique changes.; Stop the set when speed or landing quality drops.,,Alternating DB Snatch; DB Snatch; Dumbbell Snatch; Power & Athletic; bench optional; dumbbells; hamstrings; hips; power; shoulders; trunk,DB Snatch; Alternating DB Snatch,14,True
library-lateral-bound,Lateral Bound,Power & Athletic,power,free weights or bodyweight,quadriceps; glutes,calves; hamstrings,advanced,power,False,True,reps_load,2–5 reps,60,Use a light enough load to stay fast.; Reset between reps when technique changes.; Stop the set when speed or landing quality drops.,,Lateral Bound; Lateral Bound to Box jump; Power & Athletic; calves; free weights or bodyweight; glutes; hamstrings; power; quadriceps,Lateral Bound to Box jump,3,True
library-medicine-ball-rotational-throw,Medicine Ball Rotational Throw,Power & Athletic,power,medicine ball,trunk; shoulders,hips; arms,intermediate,power,False,True,reps_load,2–5 reps,60,Use a light enough load to stay fast.; Reset between reps when technique changes.; Stop the set when speed or landing quality drops.,,Med Ball Rotational Throw; Medicine Ball Rotational Throw; Power & Athletic; arms; hips; medicine ball; power; shoulders; trunk,Med Ball Rotational Throw,1,True
library-skierg,SkiErg,Cardio,conditioning,cardio machine,cardiorespiratory system,legs; trunk,intermediate,conditioning,False,False,duration_distance,duration / distance,0,"Start below maximum effort.; Keep the rhythm repeatable.; Use duration, distance, and RPE to guide progression.",Ski Erg; SkiErg,Cardio; Ski Erg; SkiErg; cardio machine; cardiorespiratory system; conditioning; legs; trunk,Ski Erg,211,True
