claim_id,system,claim_text,claim_type_as_documented,confidence_as_documented,implementation_or_status_as_documented,source_boundary_as_documented,normalized_status,source_id,source_relative_path,source_line,review_status
S-063,strength,"RP has a historical abandoned patent application describing broad feedback-driven plan generation, not the current Hypertrophy coefficients or full rule base.",Patent/public-record boundary,High,Treat as architectural provenance only; do not call it a current patent monopoly or implementation disclosure.,[US20170352289A1](https://patents.google.com/patent/US20170352289A1/en).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,70,extracted_untrusted_pending_source_validation
S-064,strength,"Public GitHub projects labelled RP-inspired/RP replacement or MacroFactor import/export are independent approximations or data utilities, not official recovered engines.",Adversarial public-record check,Moderate/High,Do not treat third-party code as source provenance.,[Transparency audit](THE_Hybrid_Strength_Algorithm_Transparency_Audit_2026-08-25.md).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,71,extracted_untrusted_pending_source_validation
S-065,strength,"Targeted public searches found no documented official recommendation API, open-source core engine or patent that discloses the complete production algorithm for either product.",Negative search evidence,Moderate,Record search date and scope; never convert absence into proof of non-existence.,[Transparency audit](THE_Hybrid_Strength_Algorithm_Transparency_Audit_2026-08-25.md).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,72,extracted_untrusted_pending_source_validation
S-066,strength,"Exact reproduction is not currently verifiable from public material; a functional, evidence-based analogue is the honest implementation target.",Implementation boundary,High,Use `PUBLIC_BEHAVIOUR_ANCHOR` plus versioned `HYBRID_POLICY`; disclose the distinction in-app.,[Transparency audit](THE_Hybrid_Strength_Algorithm_Transparency_Audit_2026-08-25.md).,scientific_or_product_claim_unverified,SRC-E8E038DAF199956C,01-strength/THE_Hybrid_Strength_Claim_Matrix.md,73,extracted_untrusted_pending_source_validation
CR-001,cross-system,Separate Strength and Conditioning domains have different decision variables.,B/C,adopted architecture,supplied plan; domain analysis,separate packages/contracts,scientific_or_product_claim_unverified,SRC-3F70904EC639D58D,06-cross-system/fitness-ecosystem-research/docs/CLAIM_REGISTER.md,7,extracted_untrusted_pending_source_validation
CR-002,cross-system,A shared TypeScript package does not protect old deployed binaries from server incompatibility.,A,adopted architecture,"S1, S7–S10",server version/ownership boundary,scientific_or_product_claim_unverified,SRC-3F70904EC639D58D,06-cross-system/fitness-ecosystem-research/docs/CLAIM_REGISTER.md,8,extracted_untrusted_pending_source_validation
CR-003,cross-system,Local-first UI should read from local data and sync in the background.,A,adopted architecture,"S1, S4–S6",repository/outbox design,scientific_or_product_claim_unverified,SRC-3F70904EC639D58D,06-cross-system/fitness-ecosystem-research/docs/CLAIM_REGISTER.md,9,extracted_untrusted_pending_source_validation
CR-004,cross-system,Full event sourcing is not required for every internal record.,A/C,adopted architecture,S9 plus complexity trade-off,"events for integration/audit, tables/snapshots for views",scientific_or_product_claim_unverified,SRC-3F70904EC639D58D,06-cross-system/fitness-ecosystem-research/docs/CLAIM_REGISTER.md,10,extracted_untrusted_pending_source_validation
CR-005,cross-system,Supabase RLS must be enabled/tested for exposed data.,A,release gate,S10–S12,positive/negative identity tests,scientific_or_product_claim_unverified,SRC-3F70904EC639D58D,06-cross-system/fitness-ecosystem-research/docs/CLAIM_REGISTER.md,11,extracted_untrusted_pending_source_validation
CR-006,cross-system,WHOOP recovery/HRV/RHR/sleep data depends on OAuth scopes and provider terms.,A,integration constraint,W1–W4,persist provenance; handle missing/revoked access,scientific_or_product_claim_unverified,SRC-3F70904EC639D58D,06-cross-system/fitness-ecosystem-research/docs/CLAIM_REGISTER.md,12,extracted_untrusted_pending_source_validation
CR-007,cross-system,"HRV-guided training has conditional evidence, especially in endurance contexts.",A/B,advisory only,E1–E8,one advisory input; no universal threshold,scientific_or_product_claim_unverified,SRC-3F70904EC639D58D,06-cross-system/fitness-ecosystem-research/docs/CLAIM_REGISTER.md,13,extracted_untrusted_pending_source_validation
CR-008,cross-system,HRV is not validated as a pain or tissue-integrity gate.,B,hard invariant,E1–E9; prior evidence review,never clears pain hold,scientific_or_product_claim_unverified,SRC-3F70904EC639D58D,06-cross-system/fitness-ecosystem-research/docs/CLAIM_REGISTER.md,14,extracted_untrusted_pending_source_validation
CR-009,cross-system,Sleep/stress context is useful but does not produce one universal readiness cutoff.,B,adopted boundary,E17–E21,"soft constraints, data quality",scientific_or_product_claim_unverified,SRC-3F70904EC639D58D,06-cross-system/fitness-ecosystem-research/docs/CLAIM_REGISTER.md,15,extracted_untrusted_pending_source_validation
CR-010,cross-system,Concurrent training interference is context-specific; explosive strength may be more sensitive.,A/B,Coordinator rule input,E10–E16,"interference tags, not blanket prohibition",scientific_or_product_claim_unverified,SRC-3F70904EC639D58D,06-cross-system/fitness-ecosystem-research/docs/CLAIM_REGISTER.md,16,extracted_untrusted_pending_source_validation
CR-011,cross-system,Pain-monitoring evidence is condition-specific and cannot justify an app-wide pain threshold.,A/B,safety boundary,E25–E27,pain route separate from fatigue,scientific_or_product_claim_unverified,SRC-3F70904EC639D58D,06-cross-system/fitness-ecosystem-research/docs/CLAIM_REGISTER.md,17,extracted_untrusted_pending_source_validation
CR-012,cross-system,Illness requires a manual/safety pathway rather than inferred diagnosis.,A/B,safety boundary,E22–E24; R6–R9,explicit illness state and review route,scientific_or_product_claim_unverified,SRC-3F70904EC639D58D,06-cross-system/fitness-ecosystem-research/docs/CLAIM_REGISTER.md,18,extracted_untrusted_pending_source_validation
CR-013,cross-system,Health and wearable data should be treated as sensitive.,A,security baseline,R1–R5,"access, retention, logs, deletion",scientific_or_product_claim_unverified,SRC-3F70904EC639D58D,06-cross-system/fitness-ecosystem-research/docs/CLAIM_REGISTER.md,19,extracted_untrusted_pending_source_validation
CR-014,cross-system,Wellness/coaching exclusions depend on intended purpose and all multi-function features.,A,regulatory gate,R6–R9,claim review before release,scientific_or_product_claim_unverified,SRC-3F70904EC639D58D,06-cross-system/fitness-ecosystem-research/docs/CLAIM_REGISTER.md,20,extracted_untrusted_pending_source_validation
CR-015,cross-system,Claude Code plugins/MCP can execute/read/write; source and permissions must be trusted.,A,operating rule,C2–C5,"staged, least-privilege installs",scientific_or_product_claim_unverified,SRC-3F70904EC639D58D,06-cross-system/fitness-ecosystem-research/docs/CLAIM_REGISTER.md,21,extracted_untrusted_pending_source_validation
CR-016,cross-system,"Current line counts, file paths, bug locations, and deployment identifiers are accurate.",D,unverified,supplied plan only,baseline audit required,unsupported_or_rejected_claim,SRC-3F70904EC639D58D,06-cross-system/fitness-ecosystem-research/docs/CLAIM_REGISTER.md,22,extracted_untrusted_pending_source_validation
CR-017,cross-system,“Two missed sessions means deload” is a validated universal rule.,D,rejected,no suitable evidence identified,do not hard-code,unsupported_or_rejected_claim,SRC-3F70904EC639D58D,06-cross-system/fitness-ecosystem-research/docs/CLAIM_REGISTER.md,23,extracted_untrusted_pending_source_validation
CR-018,cross-system,“Readiness under X blocks heavy lifting” is a validated universal rule.,D,rejected,no suitable evidence identified,use bounded context + constraints,unsupported_or_rejected_claim,SRC-3F70904EC639D58D,06-cross-system/fitness-ecosystem-research/docs/CLAIM_REGISTER.md,24,extracted_untrusted_pending_source_validation
CR-019,cross-system,Conditioning-first is the safest public launch.,D/C,rejected as assumption,risk analysis,private canary only,unsupported_or_rejected_claim,SRC-3F70904EC639D58D,06-cross-system/fitness-ecosystem-research/docs/CLAIM_REGISTER.md,25,extracted_untrusted_pending_source_validation
CR-020,cross-system,The Coordinator should be the only writer of a combined weekly plan.,C,adopted architecture,consistency/ownership reasoning,server permission + plan version,scientific_or_product_claim_unverified,SRC-3F70904EC639D58D,06-cross-system/fitness-ecosystem-research/docs/CLAIM_REGISTER.md,26,extracted_untrusted_pending_source_validation
